"","sample_id","beta1","beta2","beta3","beta4","beta5","f1","f2","f3","f4","f5","alpha","inc_age_cat1","inc_age_cat2","inc_age_cat3","inc_age_cat4","inc_age_cat5","r_a","gamma","theta_s","theta_a","r_c","rho","phi","VE_under2","VE_2_4","VE_5_plus","duration_under2","duration_2_4","duration_5_plus"
"1",1,2.50159582145101,17.8812994709655,10.3855810959153,7.16021817963249,1.10457859705202,0.0514971909955095,0.056167231,0.076445763,0.067142892,0.060656707,0.0137159213520481,1332.069982272,4166.39282145531,2757.72683352758,1890.01604240955,565.1090988,0.569289285269072,1.00441986845237,0.614949013465331,0.324464753337678,0.119201240332582,0.00239454830094757,0.0107393142794156,0.802895886,0.908422367,0.926547917,28.963240116,30.791247456,69.518383332
"2",2,3.21051547614163,20.788520344132,11.9231438776582,5.93961663902762,1.03621169521403,0.0520019282612137,0.04738233,0.060453233,0.069032586,0.074458032,0.0161080607030963,1333.32418185087,4166.79994820947,2757.96048171155,1889.1793144753,564.867518407017,0.598894854438045,1.44624753259756,0.658415976278838,0.226719023158466,0.121555936405649,0.000914717741374058,0.00649041277721409,0.767102283,0.801804857,0.994557275,62.476698984,53.5517256,47.750947992
"3",3,2.92837308619064,18.592061884468,11.9755008992011,7.40744748702723,1.20680913825086,0.050976938,0.051561053,0.066749508,0.066060027,0.063579193,0.0120903916431754,1332.8556530433,4167.68585758353,2758.12482647645,1890.05864676926,565.165644903266,0.706103412653235,1.51942892206671,0.598107132552273,0.246185114734073,0.13408353834124,0.00174357544399207,0.00896819681488196,0.831267394,0.973750114,0.919930768,34.64301732,49.429533048,115.279072728
"4",4,2.20507149422462,18.4276847341027,12.1076174577979,9.08626061198788,0.740346239989617,0.0380274458234791,0.052897506,0.08701649,0.07742636,0.070669771,0.00785829,1333.14759868092,4166.446193,2758.29716869322,1890.5162003982,564.956517813551,0.756249361141021,0.787439647087802,0.542137622743014,0.295812989568949,0.131247446828279,0.00401414984668939,0.00554231999652825,0.992127426,0.853269528,0.892410062,4.8109063279049e-12,46.380614532,94.805271636
"5",5,3.0087676689997,17.7471783861282,11.1139308008003,6.949247108,0.980381460568944,0.062876097,0.053437621,0.0552901681321764,0.052985088,0.081609848,0.04116915,1333.03172998678,4166.32830607808,2757.20258843682,1890.49438040176,565.1052793,0.7329533845047,1.94811114266562,0.596703163180179,0.370049065910285,0.156551726663722,0.000526622544356983,0.0138785517745366,0.946350554,0.854456331,0.859491194,5.31137178,66.409496652,115.577730168
"6",6,2.48743412891343,18.1702173315241,13.0597004628226,7.50807353211968,0.950404756031808,0.0470146128736841,0.052808928,0.074465098,0.076428575,0.069923134,0.009410762,1332.98771601678,4167.39175941025,2758.15561818075,1889.68356729205,565.125566880696,0.764942475003841,1.18566138250514,0.625646091564704,0.27307761224698,0.13746297612044,0.00447362252216594,0.0120112492335499,0.900206785,0.729024814,0.864871276,24.813951744,127.82735544,90.370556508
"7",7,2.4490642821059,19.1872353617133,13.0886669964625,8.08494846214069,0.961708280203275,0.0374477340534427,0.050549653,0.08216023,0.081651627,0.062614671,0.00730118,1333.26219401609,4167.35263488352,2758.06610398094,1890.48594800439,564.778303514727,0.621106760646185,0.800013250618731,0.547521363755084,0.264522178403014,0.146696195146923,0.00507482380286308,0.00612930305216499,0.856060962,0.879824011,0.964125057,39.48295038,80.393992428,70.35217962
"8",8,2.70375214637311,18.9859511130892,12.1251617868292,7.69856126987036,1.12066549914866,0.051934134,0.052529112,0.071935307,0.069819341,0.06703995,0.0107649387700089,1333.44876012308,4167.59893543013,2759.44820092939,1889.560514,564.839499,0.635178556986451,1.1748148674684,0.684649485389219,0.257800755655294,0.0988117697285747,6.02197565930082e-06,0.00803856983976801,0.743231669,0.840132292,0.956276082,36.66394872,70.99136916,97.792547904
"9",9,2.630159811,18.9099983090758,12.5023900246588,6.27778692052739,1.00829947009064,0.0582397690821853,0.051753182,0.062427347,0.069202425,0.072715183,0.0153552113627455,1333.25625644823,4167.52772820812,2758.12521490558,1890.18573418724,564.804402684925,0.609817280813029,1.28369611983477,0.564823518331981,0.273395159163329,0.152296940543636,0.000586954504313014,0.00888569264112046,0.707162692,0.903508703,0.850265949,37.389715164,42.947918748,93.284641404
"10",10,2.69861896982135,17.4667604517804,9.770935813,7.06428490658947,1.01825010383482,0.0515133200679813,0.0560597695885496,0.076845944,0.066364225,0.068342755,0.0137271412810587,1332.96572452823,4167.31238131679,2757.73648934979,1890.09582221577,564.899831119639,0.738756661537395,1.30412941000319,0.598587082800486,0.307563114334146,0.112032917613674,0.000751324335693984,0.00842909444476965,0.948474175,0.745237763,0.825440324,34.048336836,75.33768606,157.72590804
"11",11,2.47230495553558,18.9245432680234,12.3828093183739,7.38481546135757,0.97116458135942,0.045765479,0.0518186047617134,0.077429365,0.077524547,0.067632157,0.008934596,1333.17024242663,4167.40495236465,2757.93380412939,1889.79938449017,565.057996237696,0.703937123077909,1.00945611627068,0.624297388560485,0.27251848881951,0.140699583663721,0.000637457191524602,0.00718056519281581,0.807359762,0.827210748,0.939901956,58.94064012,81.974132748,87.356491476
"12",12,2.4094423970847,18.19961678,12.7615258215895,7.56286107684928,0.815746836388533,0.038462613,0.055498446,0.084874455,0.080473514,0.066896585,0.009176759,1333.00152005718,4167.23953285198,2757.95317406637,1890.96362523549,564.8725061,1,1.06706034673764,0.655278677843381,0.321185458359176,0.150814196350611,0.00126575655389981,0.0119350897155689,0.791393409,0.862813947,0.857256772,76.897957344,113.675210076,86.407655004
"13",13,2.76869050088082,18.8101625871228,12.4275486641742,5.91678486,1.05337805612738,0.058009726,0.049745713,0.057691143,0.067847935,0.071028539,0.016881487683191,1333.31135129379,4166.99320511015,2757.85612628087,1890.72298039561,565.151945557703,0.564160760326373,1.32546452616568,0.543506764941708,0.244879718181318,0.0854608974590129,0.00179220570480319,0.0121909818981696,0.958821597,0.762058699,0.969151987,36.777899772,90.914096676,46.026770892
"14",14,2.31049884040508,19.32514285,11.063756386918,8.47979428759207,0.955761959987755,0.04454574253485,0.053490149,0.080721344,0.066646284,0.0606791007753436,0.0118034095108752,1332.74259981469,4166.89724171616,2757.01973141654,1890.04619559227,564.888728290504,0.782580934323757,1.28080492270975,0.58983364353159,0.332590842650527,0.147654019536437,0.00787900826825783,0.00568639117564678,0.730665739,0.970393323,0.759874608,71.900170344,47.901451692,164.23745268
"15",15,2.50675029418795,18.2606442550275,11.4513966216628,8.35175985114524,0.907855383012451,0.040771354,0.057001610207129,0.08231743,0.069319107,0.062270225,0.0113982768590598,1333.14521054626,4166.8807153493,2757.60950738705,1890.07555329413,565.208624026424,0.927463483366682,1.12948097485477,0.605447414909688,0.353026562309437,0.121097654930372,0.00025358924898512,0.0134500348260565,0.903329722,0.867690339,0.886481048,18.459104856,95.476169664,50.443332864
"16",16,2.50860324248843,19.8864145417274,12.2970491010719,7.67736583601691,1.04228520248084,0.0469081304449413,0.0462751603159333,0.073409839,0.075679398,0.068377222,0.007553855,1333.70540392314,4167.30667538385,2758.17200174511,1889.5009315337,565.219972006716,0.874234182833719,1.41791421853964,0.633595305939529,0.219982950903123,0.12783568856978,0.002186192987564,0.00743160863084353,0.796268333,0.756108204,0.941590937,55.1964552,147.14254188,77.859687024
"17",17,2.31582866560599,16.9787963304033,11.7540284557717,7.67033652401834,0.881765337122473,0.046806712,0.059515728223949,0.082886234,0.075717827,0.06860847,0.010865631,1332.62400898912,4167.69591469952,2758.45704030474,1889.99081148733,565.361903721202,0.558797770574294,0.774121148758178,0.645655362968511,0.33787673675333,0.130745928518809,0.00425782849625354,0.0078698688876364,0.913987926,0.871105042,0.974306414,40.063219932,89.597442636,89.185410672
"18",18,2.30495717259465,18.527250600577,13.137735858892,7.50374251997484,0.846756280128281,0.041931156,0.054861376,0.082300296,0.079988399,0.067003258,0.00934227,1333.18932239149,4167.20609803072,2758.43990215225,1890.59802638225,564.914796915398,0.811610614814328,0.937259674296124,0.615011747584569,0.317642072826221,0.116598598969408,0.00181372506243552,0.0100538438457999,0.982541746,0.884518402,0.898970587,31.079899176,97.731323112,84.956305764
"19",19,2.40274649048415,18.4571697107156,11.0937177020316,7.72148629562855,0.954367073824144,0.048308132701418,0.057898063,0.081377973,0.070491453,0.065206255,0.0122035640058926,1333.17706789307,4166.88070917896,2757.54643226505,1889.75818216313,564.792011475885,0.581219720483818,0.828664619015105,0.546126519953085,0.35411070989946,0.129893822428893,5.37117392851693e-05,0.011850525221033,0.894214294,0.908401262,0.804233953,44.096246196,66.78546108,132.45714552
"20",20,2.62258217710783,18.2606502044455,12.7222785205764,7.77343352871537,0.947996963171713,0.0440088961316032,0.053629046,0.077322898,0.076415593,0.069698972,0.009168057,1333.22954428157,4166.71319682985,2757.76053688012,1890.29162517149,565.023556627156,0.814440316744785,1.17963186034845,0.574583706275696,0.284484487775164,0.131381645055528,0.00180464486538789,0.00779280190915677,0.946768392,0.833872264,0.764011866,30.050064024,44.819093172,280.76453016
