"","sample_id","beta1","beta2","beta3","beta4","beta5","f1","f2","f3","f4","f5","alpha","inc_age_cat1","inc_age_cat2","inc_age_cat3","inc_age_cat4","inc_age_cat5","r_a","gamma","theta_s","theta_a","r_c","rho","phi","VE_under5","VE_5_plus","duration_under5","duration_5_plus"
"841",841,2.52523093246706,19.21341548343,10.2654036842104,6.60132004764454,1.10051221484713,0.05313569,0.054648564,0.076134586,0.068719589,0.061640332,0.01498747,1333.01297228772,4167.05855119557,2757.5358949987,1890.39637542933,565.236300501646,0.718515541134619,1.28209119914612,0.589069978682104,0.338130619325674,0.147482269632412,0.000890130159440578,0.0063149516500816,0.710976079,0.870247263,473.39060952,862.25213064
"842",842,2.7948008247057,19.0002337978445,12.3610984645691,7.85466107602604,1.06124796680792,0.0539218114707001,0.049160269,0.065593355,0.066557899,0.074928319,0.009653144,1333.0712159551,4167.19013244759,2758.96223313261,1890.52749559517,564.473685629442,0.59169092738661,1.34948794099237,0.480848673628408,0.210269523271284,0.117441591407556,0.00356633833820298,0.00727319754029577,0.801054486,0.809296423,1025.52281508,970.4178798
"843",843,2.93820394124869,16.6051200277905,10.1619745212828,6.50015054163188,1.10283333780416,0.0561711280502089,0.0589388261524771,0.07125526,0.067363658,0.070483182,0.016835563,1332.91272825459,4166.1591151035,2757.8490331041,1889.99723436169,565.0684066,0.492621782323793,1.10233787323068,0.546540694487839,0.297749754823199,0.124221774425888,0.00138707078434236,0.00792595026557922,0.715695656,0.88078088,211.05744468,580.06337172
"844",844,2.77658521112141,16.5222963860142,12.2537212305846,8.01024481948315,1.03037403834666,0.059490477,0.0559970130232808,0.053996222,0.048863487,0.069896886,0.032907948,1332.96781591361,4166.86603178867,2758.23191491406,1889.51932551601,564.939718257624,0.682883926732074,1.73902994925624,0.642666926315959,0.388655618247344,0.142165751893274,0.00233687232504003,0.0105861598218332,0.784727154,0.800463956,160.21179864,554.20571676
"845",845,2.61765413628754,19.7721525388453,12.0084471778309,7.03884243439595,1.00249136017452,0.046493342,0.0511800458629257,0.076609408,0.076760927,0.067702675,0.009685506,1333.13469600181,4165.875031,2757.98885348088,1889.57947682767,564.69286408544,0.695845073014428,1.1071603540411,0.636591613186347,0.269594853254272,0.130354465260943,0.00177025703724627,0.0089075386279849,0.725434475,0.820976437,64.264058052,858.09156756
"846",846,2.55956252009954,18.4154392314019,12.1212247620513,8.68082195468209,0.882526135641523,0.037982121,0.0493781918945221,0.080680156,0.077035584,0.070300915,0.006944392,1333.00186816087,4166.96374514455,2758.0688888184,1890.25502227536,565.193673086629,0.860056788367632,1.05926976359557,0.547303373814774,0.249412857322915,0.109880700298029,0.00250577275396904,0.00709533164203601,0.925751378,0.816272837,488.82786288,1066.81601052
"847",847,2.40777543133296,18.9727019010293,12.6613741658645,7.46291686304322,0.946887073431216,0.0467155561880034,0.053422053,0.077327976,0.075615796,0.067035588,0.0100114471052984,1332.96604256927,4167.2138030963,2758.59902987738,1890.39007800253,565.187637921785,0.749352281036419,1.04529362995144,0.567192037173556,0.303327387991261,0.115462251559876,0.00042875802239995,0.00985685369892078,0.779827698,0.842436207,819.50198352,695.91850836
"848",848,2.49795623561677,18.790561291581,13.1157303271594,7.39679095324387,0.930413543718041,0.037483869076966,0.051245268,0.08166,0.083561723,0.063483409,0.007769057,1332.69158322381,4167.74706905148,2758.080142605,1890.08586993554,564.76172803388,0.743866683964708,0.881957655458486,0.740032963076662,0.265528956990977,0.128998682917807,0.00160108518467145,0.00543817314404957,0.706937974,0.854637827,1048.86660912,685.62453348
"849",849,2.78185404387179,18.26672596,9.96361040534404,6.18292780503965,1.11690613781864,0.064006308,0.051929884,0.064827809,0.063349115,0.072136474,0.021450266,1332.8343835707,4165.94127721293,2758.39428474064,1889.97773492761,564.723203268936,0.540012752719069,1.4711719936606,0.579017861724752,0.25292787791478,0.0865067203621718,0.00348206214590277,0.00643171633309653,0.785858494,0.802720747,517.89203616,849.49572528
"850",850,2.40989875402278,17.1648771092525,13.8169496256029,8.536235975,0.872184859,0.029111494,0.051421691,0.089991638,0.09215866,0.061236188,0.005722822,1333.09557342087,4166.43730985333,2757.9183335738,1889.77869580772,565.06507034443,0.903842983169462,0.73955312890437,0.634648381567558,0.256272949841182,0.120689579674832,0.00171114838614463,0.0114411892679256,0.764413337,0.766291349,1199.93377992,957.61527384
"851",851,2.54169312756189,19.430397005786,12.4435780356741,7.18161749219427,1.07854470016632,0.050381739,0.052727427,0.073423308,0.073175975,0.064249481,0.0112209073751083,1332.95192843684,4166.32743154654,2758.13083809025,1890.33476557283,564.572053330817,0.666413708893047,1.12788424867374,0.636012834881683,0.288658917746251,0.112199009109819,0.000939556866173246,0.00846166749409606,0.842148028,0.768676045,410.86821132,1119.97665948
"852",852,2.76868836870523,17.7116914764164,11.7470743150027,8.21508990559424,1.12133225080127,0.050551704,0.052935752,0.068213998,0.062354315,0.06501923,0.0119760703897922,1332.88894684775,4166.77443485913,2757.4555876702,1890.1840476876,565.101075511116,0.639883450227051,1.28930432451134,0.617817051444331,0.258360536799747,0.0936252975370164,0.00226545175019711,0.00608696546444677,0.81044793,0.797889786,550.85712648,700.57593012
"853",853,2.66516959155033,18.7173108166012,11.0105519128316,6.32215510841203,1.40800990667178,0.062243622,0.0521336530958098,0.057154955,0.0563536405026074,0.0524738296044374,0.036027429,1332.94630347227,4166.59916729315,2758.06273651457,1890.50600292214,564.930036246824,0.708777739517414,1.89417738555627,0.608087298621985,0.40876238877995,0.0899494590387915,0.0031244076264443,0.0133235483579129,0.798922665,0.857520224,228.21630552,331.76047908
"854",854,2.31164940808,20.3400197818376,11.4811447185969,7.94139826931378,0.885200915659844,0.051053078,0.054718483644477,0.075407378,0.063702563,0.067309911,0.014814579848736,1332.71282679774,4166.76560382461,2757.82793514114,1890.17827914823,564.713718033394,0.571500318358884,0.874778685419897,0.668229325459604,0.360496536839286,0.111575065811141,0.00117951341276271,0.0127173728504062,0.763898528,0.898564944,530.20328616,380.01260472
