Column1,Column2
1466.666667,1476.1588765636893
1466.666667,1476.9817564061036
1466.666667,1467.5157663858258
6400.0,6462.556724117032
10500.0,10546.703413296822
10200.0,10219.476035840536
9600.0,9593.255499893392
8900.0,8895.990475020566
5577.777778,5597.593831780118
5577.777778,5593.015274458074
5577.777778,5572.511152534029
5577.777778,5547.559244584142
5577.777778,5536.134577828476
5577.777778,5557.797668088799
5577.777778,5540.356447606923
5577.777778,5530.577956552214
5577.777778,5630.951560999131
0.002975,0.004329235158789565
0.00039999999999999996,0.0012484996295142163
0.00039999999999999996,0.003969848397359456
0.000275,0.0009207339456210063
0.000125,0.0005771305772484961
7.5e-5,0.0005819898589620003
0.00011666666666666667,0.0007150405418521014
0.00015,0.0007843431697475452
0.00016666666666666666,0.008762058903262706
0.00019166666666666667,0.0006108247512560886
0.00023333333333333333,0.0012371687488901453
0.00030833333333333337,0.0014547912661313387
0.0004333333333333333,0.0014004480212567835
0.0006416666666666667,0.0010767129242228075
0.0009666666666666666,0.0014963150726798582
0.00145,0.0026332803891903384
0.004421689833333333,0.005916019039260455
0.0019,0.0019860881548117073
